"Distribution Center","Vendor#","Vendor Name","Date From","Date Thru","Total Due","Bid","Bid Description","Item","Pack","Size","Description","UPC","Vendor Item#","Contract ID","Qty","Each","Allowance","Extended Amt","Invoice Date","Invoice#","Customer#","Customer Name","Qty","Guar Cost","Actual Cost","Allowance","Extended Amt"
Performance Foodservice Middendorf                ,53628,ASPIRE BAKERIES LLC      ,02/28/2022,04/02/2022,515.90              ,202 ,NAVIGATOR 13.5% FOODBUY        ,999316,320 ,1 OZ   ,OTIS SPU?COOKIE DGH CHOC CHIP TFF       ,'10013087581000,58100               ,ARYZTA              ,24     ,0      ,7.77                ,              186.48,03/08/2022,4319481   ,99475     ,HILL CREST MANOR              ,1      ,32.83               ,40.60               ,7.77                ,7.77
Performance Foodservice Middendorf                ,53628,ASPIRE BAKERIES LLC      ,02/28/2022,04/02/2022,515.90              ,202 ,NAVIGATOR 13.5% FOODBUY        ,999316,320 ,1 OZ   ,OTIS SPU?COOKIE DGH CHOC CHIP TFF       ,'10013087581000,58100               ,ARYZTA              ,24     ,0      ,7.77                ,              186.48,03/02/2022,4316488   ,99553     ,THE MANOR                     ,1      ,32.83               ,40.60               ,7.77                ,7.77
Performance Foodservice Middendorf                ,53628,ASPIRE BAKERIES LLC      ,02/28/2022,04/02/2022,515.90              ,202 ,NAVIGATOR 13.5% FOODBUY        ,999316,320 ,1 OZ   ,OTIS SPU?COOKIE DGH CHOC CHIP TFF       ,'10013087581000,58100               ,ARYZTA              ,24     ,0      ,7.77                ,              186.48,03/30/2022,4332289   ,117511    ,AVA PLACE                     ,1      ,32.83               ,40.60               ,7.77                ,7.77
Performance Foodservice Middendorf                ,53628,ASPIRE BAKERIES LLC      ,02/28/2022,04/02/2022,515.90              ,202 ,NAVIGATOR 13.5% FOODBUY        ,999316,320 ,1 OZ   ,OTIS SPU?COOKIE DGH CHOC CHIP TFF       ,'10013087581000,58100               ,ARYZTA              ,24     ,0      ,7.77                ,              186.48,03/14/2022,4322851   ,137310    ,RIDGE CREST NURSING HOME      ,1      ,32.83               ,40.60               ,7.77                ,7.77
Performance Foodservice Middendorf                ,53628,ASPIRE BAKERIES LLC      ,02/28/2022,04/02/2022,515.90              ,202 ,NAVIGATOR 13.5% FOODBUY        ,999316,320 ,1 OZ   ,OTIS SPU?COOKIE DGH CHOC CHIP TFF       ,'10013087581000,58100               ,ARYZTA              ,24     ,0      ,7.77                ,              186.48,04/01/2022,4333836   ,138060    ,RIVERVIEW NURSING HOME        ,1      ,32.83               ,40.60               ,7.77                ,7.77
Performance Foodservice Middendorf                ,53628,ASPIRE BAKERIES LLC      ,02/28/2022,04/02/2022,515.90              ,202 ,NAVIGATOR 13.5% FOODBUY        ,999316,320 ,1 OZ   ,OTIS SPU?COOKIE DGH CHOC CHIP TFF       ,'10013087581000,58100               ,ARYZTA              ,24     ,0      ,7.77                ,              186.48,03/23/2022,4328426   ,139475    ,NEURORESTORATIVE CARBNDLE     ,1      ,32.83               ,40.60               ,7.77                ,7.77
Performance Foodservice Middendorf                ,53628,ASPIRE BAKERIES LLC      ,02/28/2022,04/02/2022,515.90              ,202 ,NAVIGATOR 13.5% FOODBUY        ,999316,320 ,1 OZ   ,OTIS SPU?COOKIE DGH CHOC CHIP TFF       ,'10013087581000,58100               ,ARYZTA              ,24     ,0      ,7.77                ,              186.48,03/10/2022,4321380   ,142945    ,SARAH COMMUNITY, THE          ,1      ,32.83               ,40.60               ,7.77                ,7.77
Performance Foodservice Middendorf                ,53628,ASPIRE BAKERIES LLC      ,02/28/2022,04/02/2022,515.90              ,202 ,NAVIGATOR 13.5% FOODBUY        ,999316,320 ,1 OZ   ,OTIS SPU?COOKIE DGH CHOC CHIP TFF       ,'10013087581000,58100               ,ARYZTA              ,24     ,0      ,7.77                ,              186.48,03/21/2022,4327118   ,142945    ,SARAH COMMUNITY, THE          ,1      ,32.83               ,40.60               ,7.77                ,7.77
Performance Foodservice Middendorf                ,53628,ASPIRE BAKERIES LLC      ,02/28/2022,04/02/2022,515.90              ,202 ,NAVIGATOR 13.5% FOODBUY        ,999316,320 ,1 OZ   ,OTIS SPU?COOKIE DGH CHOC CHIP TFF       ,'10013087581000,58100               ,ARYZTA              ,24     ,0      ,7.77                ,              186.48,03/22/2022,4328294   ,142945    ,SARAH COMMUNITY, THE          ,-1     ,32.83               ,40.60               ,7.77                ,-7.77
Performance Foodservice Middendorf                ,53628,ASPIRE BAKERIES LLC      ,02/28/2022,04/02/2022,515.90              ,202 ,NAVIGATOR 13.5% FOODBUY        ,999316,320 ,1 OZ   ,OTIS SPU?COOKIE DGH CHOC CHIP TFF       ,'10013087581000,58100               ,ARYZTA              ,24     ,0      ,7.77                ,              186.48,03/18/2022,4325891   ,147295    ,SIKESTON CONVALESCENT CTR     ,1      ,32.83               ,40.60               ,7.77                ,7.77
Performance Foodservice Middendorf                ,53628,ASPIRE BAKERIES LLC      ,02/28/2022,04/02/2022,515.90              ,202 ,NAVIGATOR 13.5% FOODBUY        ,999316,320 ,1 OZ   ,OTIS SPU?COOKIE DGH CHOC CHIP TFF       ,'10013087581000,58100               ,ARYZTA              ,24     ,0      ,7.77                ,              186.48,03/10/2022,4321077   ,150909    ,THE COMMUNITIES OF WILDWO     ,1      ,32.83               ,40.60               ,7.77                ,7.77
Performance Foodservice Middendorf                ,53628,ASPIRE BAKERIES LLC      ,02/28/2022,04/02/2022,515.90              ,202 ,NAVIGATOR 13.5% FOODBUY        ,999316,320 ,1 OZ   ,OTIS SPU?COOKIE DGH CHOC CHIP TFF       ,'10013087581000,58100               ,ARYZTA              ,24     ,0      ,7.77                ,              186.48,03/10/2022,4321071   ,173390    ,TRUMAN HEALTHCARE &           ,1      ,32.83               ,40.60               ,7.77                ,7.77
Performance Foodservice Middendorf                ,53628,ASPIRE BAKERIES LLC      ,02/28/2022,04/02/2022,515.90              ,202 ,NAVIGATOR 13.5% FOODBUY        ,999316,320 ,1 OZ   ,OTIS SPU?COOKIE DGH CHOC CHIP TFF       ,'10013087581000,58100               ,ARYZTA              ,24     ,0      ,7.77                ,              186.48,03/15/2022,4323495   ,175070    ,VALLEY MANOR &                ,1      ,32.83               ,40.60               ,7.77                ,7.77
Performance Foodservice Middendorf                ,53628,ASPIRE BAKERIES LLC      ,02/28/2022,04/02/2022,515.90              ,202 ,NAVIGATOR 13.5% FOODBUY        ,999316,320 ,1 OZ   ,OTIS SPU?COOKIE DGH CHOC CHIP TFF       ,'10013087581000,58100               ,ARYZTA              ,24     ,0      ,7.77                ,              186.48,03/29/2022,4331524   ,175070    ,VALLEY MANOR &                ,1      ,32.83               ,40.60               ,7.77                ,7.77
Performance Foodservice Middendorf                ,53628,ASPIRE BAKERIES LLC      ,02/28/2022,04/02/2022,515.90              ,202 ,NAVIGATOR 13.5% FOODBUY        ,999316,320 ,1 OZ   ,OTIS SPU?COOKIE DGH CHOC CHIP TFF       ,'10013087581000,58100               ,ARYZTA              ,24     ,0      ,7.77                ,              186.48,03/22/2022,4327622   ,215707    ,HICKORY MANOR                 ,1      ,32.83               ,40.60               ,7.77                ,7.77
Performance Foodservice Middendorf                ,53628,ASPIRE BAKERIES LLC      ,02/28/2022,04/02/2022,515.90              ,202 ,NAVIGATOR 13.5% FOODBUY        ,999316,320 ,1 OZ   ,OTIS SPU?COOKIE DGH CHOC CHIP TFF       ,'10013087581000,58100               ,ARYZTA              ,24     ,0      ,7.77                ,              186.48,03/24/2022,4329082   ,55034764  ,WESTGATE                      ,1      ,32.83               ,40.60               ,7.77                ,7.77
Performance Foodservice Middendorf                ,53628,ASPIRE BAKERIES LLC      ,02/28/2022,04/02/2022,515.90              ,581 ,CULINARY ARCHITECTS GSLR 410689,979377,48  ,4.66OZ ,LA BREA  ROLL BAGUETTE FRNCH DEMI PARBKD,'10781421021252,02125               ,LA BREA-ASPIRE      ,6      ,0      ,1.00                ,                6.00,03/04/2022,4317849   ,5804      ,BAXTER'S                      ,1      ,.00                 ,38.03               ,1.00                ,1.00
